city,country,lat,lon,temp,humidity,cloudiness,wind speed,date
Adre,TD,13.47,22.2,20.51,55,0,0.92,1554581505
Valera,VE,9.31,-70.61,32.61,52,8,1.72,1554581505
Playas,EC,-2.64,-80.39,30.61,60,12,3.92,1554581505
Iquique,CL,-20.22,-70.14,23.0,64,0,8.2,1554577200
Basqal,AZ,40.75,48.39,10.0,100,90,3.1,1554577200
Beyneu,KZ,45.32,55.19,9.21,64,88,6.52,1554581506
Whitehorse,CA,60.72,-135.06,1.93,59,75,7.2,1554581245
Hilo,US,19.71,-155.08,24.19,57,1,1.5,1554581486
Provideniya,RU,64.42,-173.23,-9.69,100,48,2.57,1554581508
Flinders,AU,-34.58,150.85,17.59,93,40,3.1,1554581406
Fallon,US,46.84,-105.12,17.0,55,20,6.32,1554576960
Bilibino,RU,68.06,166.44,-10.29,83,0,1.47,1554581509
Astoria,US,46.19,-123.83,12.89,66,90,9.3,1554581465
Auki,NG,12.18,6.51,29.71,37,0,4.12,1554581510
Chokurdakh,RU,70.62,147.9,-9.59,88,88,2.87,1554581510
Hobart,AU,-42.88,147.33,8.2,71,20,3.1,1554581295
Muros,ES,42.77,-9.06,7.53,93,40,0.5,1554581275
Goderich,CA,43.74,-81.71,8.45,73,0,3.13,1554581221
Bluff,AU,-23.58,149.07,17.81,88,0,3.42,1554581511
Henties Bay,NA,-22.12,14.28,15.56,88,0,0.89,1554580927
Hermanus,ZA,-34.42,19.24,18.15,82,0,3.13,1554580855
Avarua,CK,-21.21,-159.78,27.0,69,64,4.1,1554579000
Lata,IN,30.78,78.62,7.46,90,24,1.07,1554581512
Olinda,EC,-2.03,-79.75,31.23,58,75,3.6,1554581406
Tera,CY,34.97,32.42,14.73,77,20,1.5,1554580808
Tura,IN,25.52,90.21,18.56,96,92,1.77,1554581512
Sarangani,PH,5.4,125.46,26.71,100,32,1.07,1554581513
Ciudad Bolivar,VE,8.12,-63.55,33.66,34,0,7.32,1554581266
Kalmunai,LK,7.42,81.82,22.46,100,8,1.27,1554581513
Ambon,FR,47.55,-2.56,8.34,100,90,4.1,1554581432
Alice Springs,AU,-23.7,133.88,17.0,48,0,1.5,1554579000
Dourbali,TD,11.81,15.86,27.01,47,0,1.87,1554581513
Sayyan,YE,15.17,44.32,8.66,86,0,0.72,1554581514
Qinhuangdao,CN,39.94,119.59,-0.89,41,0,2.22,1554581514
Busselton,AU,-33.64,115.35,8.91,56,44,4.67,1554581410
Alindao,CF,5.04,21.21,26.81,62,8,3.57,1554581514
Carnarvon,ZA,-30.97,22.13,9.06,68,0,1.77,1554581374
Qaanaaq,GL,77.48,-69.36,-10.84,88,56,4.47,1554581514
Sawakin,SD,19.1,37.33,17.56,100,0,1.67,1554581515
Velikiy Ustyug,RU,60.76,46.3,-1.84,79,0,2.97,1554581515
Cajnice,BA,43.56,19.07,10.31,81,0,2.6,1554580800
Iranshahr,IR,27.21,60.69,29.0,23,0,3.1,1554577200
Miramar,CR,10.09,-84.73,26.4,45,40,5.1,1554580895
Sitka,US,37.17,-99.65,20.0,58,76,3.58,1554580872
Muriae,BR,-21.13,-42.37,26.76,57,80,1.07,1554581516
Bagdarin,RU,54.44,113.59,-14.89,65,0,1.27,1554581516
Barrow,AR,-38.31,-60.23,23.16,36,20,5.57,1554581516
Pangnirtung,CA,66.15,-65.72,-6.0,62,90,3.6,1554577200
Sao Miguel do Araguaia,BR,-13.28,-50.16,29.11,73,64,1.42,1554581517
Collie,AU,-33.36,116.15,8.39,56,56,1.62,1554581410
Grootfontein,NA,-19.56,18.1,20.36,61,24,2.62,1554581517
Castro,CL,-42.48,-73.76,15.0,87,75,7.7,1554577200
Zvenigovo,RU,55.97,48.02,3.0,86,40,4.0,1554579000
Ancud,CL,-41.87,-73.83,15.0,87,75,7.7,1554577200
Katsuura,JP,33.93,134.5,9.91,71,20,2.1,1554581103
Huarmey,PE,-10.07,-78.15,24.81,58,20,1.72,1554581518
Raudeberg,NO,61.99,5.14,4.91,65,8,5.1,1554581404
Vanimo,PG,-2.67,141.3,25.96,100,88,0.87,1554581519
Atar,MR,20.52,-13.05,19.86,28,0,3.17,1554581519
Ayan,TR,40.67,33.6,1.71,70,24,1.07,1554581519
Moose Factory,CA,51.26,-80.61,-5.0,62,90,2.1,1554578340
Yellowknife,CA,62.45,-114.38,-7.59,52,90,5.7,1554581094
Thompson,CA,55.74,-97.86,-2.0,25,20,1.0,1554577200
Preobrazheniye,RU,42.9,133.91,-3.69,88,0,1.62,1554581520
Guia de Isora,ES,28.21,-16.78,15.96,59,75,3.1,1554581418
Yar-Sale,RU,66.83,70.83,-1.84,85,68,10.67,1554581245
Sayansk,RU,54.11,102.18,-6.24,52,0,3.22,1554581520
Hithadhoo,MV,-0.6,73.08,28.96,100,0,2.92,1554581287
Te Anau,NZ,-45.41,167.72,2.11,75,0,1.92,1554581521
Deputatskiy,RU,69.3,139.9,-10.49,83,68,1.22,1554581521
Tiznit,MA,29.7,-9.73,13.66,80,8,4.77,1554581489
Nikolskoye,RU,59.7,30.79,1.56,55,0,3.0,1554581136
Zhigalovo,RU,54.81,105.15,-14.89,62,0,0.97,1554581521
Dakar,SN,14.69,-17.45,20.96,56,12,9.8,1554579000
Kaitangata,NZ,-46.28,169.85,3.76,73,0,2.47,1554581433
Jobner,IN,26.97,75.39,31.0,16,48,3.1,1554579000
Americus,US,32.07,-84.23,22.16,88,90,1.5,1554581309
Morgan City,US,29.7,-91.21,28.01,58,75,5.1,1554581497
Matagami,NG,9.67,8.4,23.86,68,0,1.82,1554581523
Albany,US,42.65,-73.75,12.57,50,20,4.6,1554581468
Bestobe,KZ,52.5,73.1,-1.69,72,0,2.67,1554581523
Puerto Ayora,EC,-0.74,-90.35,29.62,66,20,8.2,1554580868
East London,ZA,-33.02,27.91,20.46,100,80,7.72,1554581524
Port Alfred,ZA,-33.59,26.89,16.67,88,12,7.92,1554581499
Airai,TL,-8.93,125.41,18.51,86,0,0.67,1554581524
Miajadas,ES,39.15,-5.91,6.67,88,92,5.82,1554581237
Tazmalt,DZ,36.39,4.4,9.86,76,40,2.1,1554580978
Valleyview,CA,55.07,-117.28,6.01,95,92,5.32,1554581525
Tabou,CI,4.42,-7.36,29.21,97,20,6.02,1554581525
Lauro Muller,BR,-28.39,-49.4,19.01,99,92,1.42,1554581447
Hegra,NO,63.46,11.11,4.11,60,75,6.7,1554581416
Clyde River,CA,70.47,-68.59,-15.0,84,68,15.9,1554577200
Sibolga,ID,1.74,98.78,20.56,100,92,0.62,1554581227
Mecca,SA,21.43,39.83,19.36,48,12,1.12,1554581282
Shache,CN,38.42,77.24,20.56,52,0,0.45,1554581411
Guerrero Negro,MX,27.97,-114.04,20.46,62,0,6.92,1554581320
Cape Town,ZA,-33.93,18.42,17.98,82,0,6.2,1554581467
Severo-Kurilsk,RU,50.68,156.12,0.26,95,92,12.92,1554581526
Komsomolskiy,RU,67.55,63.78,-3.79,90,80,9.27,1554581527
Mehamn,NO,71.03,27.85,-1.69,86,64,5.02,1554581527
Lensk,RU,60.71,114.91,-7.84,74,56,1.52,1554581527
Valparaiso,US,41.47,-87.06,19.0,59,75,3.47,1554581232
Vaini,IN,15.34,74.49,19.76,86,0,0.67,1554581528
Bredasdorp,ZA,-34.53,20.04,17.59,82,12,3.1,1554580843
Lorengau,PG,-2.02,147.27,27.96,100,36,3.47,1554581528
Narsaq,GL,60.91,-46.05,7.0,26,75,3.1,1554576600
Yiannouli,GR,39.67,22.38,12.43,71,75,2.1,1554580200
Candolim,IN,15.52,73.76,28.0,74,40,3.6,1554579000
Mnogovershinnyy,RU,53.94,139.92,-4.44,93,76,1.27,1554581526
Touros,BR,-5.2,-35.46,25.61,99,92,2.82,1554581480
Esperance,TT,10.24,-61.45,29.29,66,75,9.8,1554580916
Benghazi,LY,32.12,20.07,16.56,97,88,7.22,1554581529
Eyl,SO,7.98,49.82,24.71,100,0,1.92,1554581529
Caravelas,BR,-17.73,-39.27,28.21,97,20,6.42,1554581530
Taltal,CL,-25.41,-70.49,20.66,56,0,0.97,1554581530
Medicine Hat,CA,50.04,-110.68,15.76,21,40,13.9,1554581511
New Norfolk,AU,-42.78,147.06,8.2,71,20,3.1,1554581474
Saint Anthony,US,43.97,-111.68,8.53,45,75,10.3,1554581146
Hervey Bay,AU,-25.3,152.85,18.14,88,0,3.1,1554581424
Port-Cartier,CA,50.03,-66.88,1.97,74,75,3.6,1554581294
Ulaanbaatar,MN,47.92,106.92,-11.0,85,0,1.0,1554580800
Khatanga,RU,71.98,102.47,-6.94,87,68,3.02,1554581282
Port Elizabeth,US,39.31,-74.98,18.14,48,1,3.1,1554581423
Fereydun Kenar,IR,36.69,52.52,14.0,87,90,5.1,1554577200
Talnakh,RU,69.49,88.39,-7.54,90,88,5.07,1554581532
Alofi,NU,-19.06,-169.92,26.0,94,76,2.6,1554577200
Nabire,ID,-3.36,135.5,19.96,92,68,0.87,1554581533
San Jose,PH,15.79,120.99,19.36,96,8,0.87,1554581534
Iqaluit,CA,63.75,-68.52,-6.07,79,90,5.1,1554580924
Haukipudas,FI,65.17,25.5,-0.63,75,0,0.5,1554580817
Nouadhibou,MR,20.93,-17.03,21.0,64,8,9.8,1554577200
Nioro,GM,13.79,-15.05,32.31,28,0,4.97,1554581535
Plettenberg Bay,ZA,-34.05,23.37,17.46,96,0,5.92,1554581535
Karratha,AU,-20.74,116.85,18.66,67,0,1.32,1554581315
Sao Jose da Coroa Grande,BR,-8.9,-35.15,27.31,78,44,3.57,1554581536
Ornskoldsvik,SE,63.29,18.72,2.11,74,92,2.97,1554578400
Marawi,PH,8.0,124.29,24.44,91,64,2.24,1554580085
Evensk,RU,61.92,159.24,-1.54,79,0,2.17,1554581536
Kavieng,PG,-2.57,150.8,27.51,100,92,2.42,1554581536
Lompoc,US,34.64,-120.46,19.53,59,1,7.7,1554581266
Emba,CY,34.81,32.42,14.68,77,20,1.5,1554580808
Kodiak,US,39.95,-94.76,23.92,13,1,7.7,1554581523
Shenjiamen,CN,29.96,122.3,15.01,87,0,4.47,1554581537
Janesville,US,42.68,-89.02,16.64,55,40,7.7,1554581525
Ribeira Grande,PT,38.52,-28.7,14.0,93,75,10.8,1554580800
Ostrovnoy,RU,68.05,39.51,-3.69,85,64,4.67,1554581538
Dikson,RU,73.51,80.55,-9.59,98,76,2.42,1554581538
Pullman,US,46.73,-117.17,7.26,61,90,3.1,1554581538
Alyangula,AU,-13.85,136.42,25.0,94,75,4.1,1554579000
Pallasovka,RU,50.04,46.89,8.76,97,92,1.77,1554581539
Culebra,US,34.68,-105.77,16.33,20,1,7.7,1554581535
Umm Lajj,SA,25.02,37.27,20.26,87,64,1.72,1554581372
Cabo San Lucas,MX,22.89,-109.91,25.01,60,5,4.1,1554580974
Tromso,NO,69.65,18.96,-0.41,92,75,9.8,1554578400
Phitsanulok,TH,16.82,100.26,24.51,80,0,2.42,1554581495
Kiunga,PG,-6.12,141.3,22.21,98,92,1.07,1554581540
Scottsbluff,US,41.87,-103.67,21.08,21,20,5.1,1554581290
Carutapera,BR,-1.2,-46.02,25.46,95,92,2.62,1554581540
Alta Floresta,BR,-9.87,-56.08,26.66,82,32,1.07,1554581540
Keflavik,IS,64.0,-22.56,5.19,65,75,5.7,1554581217
Pevek,RU,69.7,170.27,-14.14,87,0,3.12,1554581249
Vila Franca do Campo,PT,37.72,-25.43,14.21,87,20,9.8,1554581464
Tasiilaq,GL,65.61,-37.64,0.0,92,92,14.9,1554576600
Rocha,UY,-34.48,-54.34,19.36,63,80,1.77,1554581541
Maragogi,BR,-9.01,-35.22,27.31,78,44,3.57,1554581541
Antsohihy,MG,-14.88,47.99,25.21,76,0,4.32,1554581541
Iraucuba,BR,-3.75,-39.78,21.16,100,92,3.22,1554581541
Butaritari,KI,3.07,172.79,26.41,100,88,3.62,1554581292
Acajutla,SV,13.59,-89.83,28.81,64,36,2.22,1554581536
Kurchum,KZ,48.57,83.65,0.91,71,0,3.92,1554581542
Bambous Virieux,MU,-20.34,57.76,26.28,74,75,5.1,1554581040
Upernavik,GL,72.79,-56.15,0.01,77,0,6.67,1554581309
Saint George,GR,39.45,22.34,12.47,71,75,2.1,1554580200
Saint-Philippe,CA,45.36,-73.48,6.89,93,90,1.5,1554581526
Haines Junction,CA,60.75,-137.51,-0.69,77,0,1.17,1554581543
Pemba,MZ,-12.97,40.52,28.31,100,48,5.37,1554581543
Venice,US,27.1,-82.45,29.27,74,1,4.1,1554581316
Lebu,ET,8.96,38.73,18.0,59,20,3.1,1554580800
Tateyama,JP,36.66,137.31,9.43,69,100,0.62,1554581416
Andros Town,BS,24.73,-77.79,27.61,65,75,4.6,1554580808
Georgetown,GY,6.8,-58.16,29.0,74,40,6.2,1554577200
Pitimbu,BR,-7.47,-34.81,29.0,70,75,4.1,1554577200
Bonnyville,CA,54.27,-110.74,2.0,93,90,6.7,1554577200
Marsaxlokk,MT,35.84,14.54,13.73,87,0,1.0,1554581459
Ust-Koksa,RU,50.27,85.62,-4.59,83,76,1.07,1554581545
Nishihara,JP,35.74,139.53,10.87,58,75,4.1,1554581416
Souillac,FR,45.6,-0.6,7.24,87,0,4.6,1554581254
Isangel,VU,-19.55,169.27,25.06,100,0,7.07,1554581545
Kutum,SD,14.2,24.66,16.96,29,0,2.52,1554581545
Sokna,NO,60.24,9.92,3.36,85,0,4.1,1554581446
San Patricio,PY,-26.98,-56.83,21.31,76,64,2.57,1554581546
Qazvin,IR,36.28,50.01,9.0,87,0,2.1,1554577200
Sao Joao de Meriti,BR,-22.8,-43.37,31.01,59,40,3.1,1554581136
Manggar,ID,-2.88,108.27,23.61,100,0,1.32,1554581546
Eston,CA,51.15,-108.75,6.0,93,90,9.8,1554577200
Belaya Gora,RU,68.54,146.19,-8.79,88,80,1.67,1554581546
Atuona,PF,-9.8,-139.03,28.31,98,8,6.62,1554581547
Chuy,UY,-33.69,-53.46,19.41,80,76,3.22,1554581547
Humberto de Campos,BR,-2.6,-43.46,24.86,100,92,1.47,1554581547
Chimbote,PE,-9.08,-78.59,22.61,80,36,3.02,1554581547
Along,IN,28.17,94.8,14.86,73,8,0.87,1554581547
Luwuk,ID,-0.95,122.79,25.91,100,80,1.22,1554581342
Dhandhuka,IN,22.38,71.98,27.81,35,0,5.47,1554581548
Bandarbeyla,SO,9.49,50.81,27.26,100,0,1.42,1554581548
Cortez,US,37.35,-108.58,11.94,31,20,7.2,1554581309
Vostok,RU,46.45,135.83,-3.89,95,80,0.62,1554581549
Margate,AU,-43.03,147.26,8.21,71,20,3.1,1554581534
Faanui,PF,-16.48,-151.75,29.56,98,76,7.02,1554581549
Zhangjiakou,CN,40.77,114.88,0.61,64,44,1.97,1554581549
Lavrentiya,RU,65.58,-170.99,-12.29,100,48,2.62,1554581549
Husavik,CA,50.56,-96.99,6.41,56,88,2.24,1554581415
Saldanha,PT,41.42,-6.55,4.36,96,56,3.22,1554581550
Wucheng,CN,29.09,119.57,8.81,85,8,0.97,1554581550
Miri,NG,10.31,9.75,30.31,34,92,1.62,1554581550
Lipari,IT,38.47,14.95,14.12,87,75,1.27,1554581520
Havelock,US,34.88,-76.9,19.69,68,90,3.6,1554581242
Hobyo,SO,5.35,48.53,25.96,90,76,3.77,1554581551
Shanghai,CN,31.23,121.49,16.14,87,0,1.0,1554580825
La Plata,AR,-34.92,-57.95,22.01,49,0,4.1,1554581291
Hasaki,JP,35.73,140.83,10.45,87,40,4.1,1554581261
Aswan,EG,24.09,32.9,28.0,18,0,2.6,1554577200
Halifax,CA,44.65,-63.58,4.15,100,90,4.6,1554581164
Axim,GH,4.87,-2.24,28.91,96,8,5.92,1554581552
Nanortalik,GL,60.14,-45.24,0.46,93,24,8.97,1554581552
Marzuq,YE,14.4,46.47,14.11,82,0,1.07,1554581453
Geraldton,CA,49.72,-86.95,2.0,55,75,1.5,1554577200
Nantucket,US,41.28,-70.1,13.49,67,1,5.1,1554581524
Shingu,JP,33.72,135.99,16.21,94,44,5.07,1554581553
Fuerte Olimpo,BR,-21.04,-57.87,22.61,75,12,4.67,1554581553
Kavaratti,IN,10.57,72.64,29.36,100,0,4.82,1554581553
Veraval,FR,49.65,0.71,11.62,66,0,5.1,1554581452
Xingyi,CN,24.19,102.82,12.11,70,0,1.77,1554581554
Dovolnoye,RU,54.5,79.67,-0.29,91,36,5.02,1554581554
Belyy Yar,RU,53.6,91.39,3.0,87,75,6.0,1554579000
Behbahan,IR,30.59,50.24,22.91,57,40,3.1,1554577200
Port Augusta,AU,-32.49,137.76,11.0,87,0,1.5,1554577200
Vestmannaeyjar,IS,63.44,-20.27,3.76,90,68,6.62,1554581555
Killybegs,IE,54.63,-8.45,7.53,66,0,1.0,1554581523
Marfino,RU,56.07,37.56,1.72,86,0,3.0,1554581144
Springdale,US,36.19,-94.13,22.27,68,75,5.1,1554581448
Nyurba,RU,63.29,118.35,-9.34,80,0,1.12,1554581556
Jalu,LY,29.03,21.55,18.56,72,0,1.42,1554581556
Kieta,PG,-6.22,155.63,27.01,100,12,2.12,1554581315
Blagoyevo,RU,63.37,47.92,-3.14,86,0,1.52,1554581557
Noshiro,JP,40.21,140.05,8.21,87,68,6.27,1554581557
Estelle,US,32.87,-97.01,17.18,93,5,7.32,1554581379
Guasdualito,VE,7.24,-70.73,37.0,29,40,2.1,1554577200
Ormara,PK,25.21,64.64,26.31,74,0,6.17,1554581557
Gambela,ET,8.25,34.59,19.31,80,0,0.27,1554581557
Karpogory,RU,64.0,44.44,-0.39,96,68,1.57,1554581558
Laguna,MX,27.52,-110.01,27.0,26,5,3.1,1554576120
Havre-Saint-Pierre,CA,50.23,-63.6,-1.0,86,75,8.2,1554580320
Colares,PT,38.8,-9.45,12.25,71,40,3.6,1554581516
Clearwater,US,27.97,-82.8,29.75,57,40,2.1,1554581545
Samarai,PG,-10.62,150.67,24.46,100,92,0.72,1554581559
Novo Aripuana,BR,-5.12,-60.38,29.91,75,20,1.42,1554581559
Roald,NO,62.58,6.12,2.57,98,20,7.2,1554581404
Laizhou,CN,37.18,119.93,9.41,68,0,6.12,1554581560
Nagram,IN,26.62,81.14,25.0,61,40,6.2,1554579000
Faya,SA,18.39,42.45,18.0,63,0,2.1,1554577200
Pisco,PE,-13.71,-76.2,22.0,30,0,4.1,1554577200
Riyadh,SA,24.63,46.72,27.0,22,0,1.5,1554577200
Torbay,CA,47.66,-52.73,3.36,32,90,8.7,1554581064
Mar del Plata,AR,-46.43,-67.52,21.46,31,0,2.22,1554581561
Sao Filipe,CV,14.9,-24.5,21.91,94,0,8.07,1554581561
Moa,CU,20.66,-74.95,26.91,60,44,2.17,1554581561
Gat,SN,14.69,-16.54,29.62,56,20,9.8,1554579000
Wattegama,LK,7.35,80.68,21.11,94,24,1.22,1554581562
Srednekolymsk,RU,67.46,153.71,-13.29,88,36,1.42,1554581562
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,0.0,91,40,2.0,1554579000
Luangwa,MZ,-15.62,30.4,27.56,48,56,4.12,1554581562
Awjilah,LY,29.14,21.3,21.06,43,0,5.12,1554581563
Kogon,UZ,39.73,64.54,15.0,82,0,4.1,1554579000
Okhotsk,RU,59.36,143.24,-1.09,82,48,2.57,1554581563
Labuhan,ID,-2.54,115.51,22.31,97,88,0.52,1554581563
Cockburn Town,TC,21.46,-71.14,26.01,97,76,8.17,1554581318
Ilulissat,GL,69.22,-51.1,4.0,44,75,9.8,1554576600
Codrington,AU,-28.95,153.24,15.93,93,75,2.6,1554581525
Lasa,CY,34.92,32.53,14.71,77,20,1.5,1554580808
Kenai,US,60.55,-151.26,1.07,86,90,8.2,1554581464
Arraial do Cabo,BR,-22.97,-42.02,30.48,66,0,4.1,1554577200
Taoudenni,ML,22.68,-3.98,19.96,25,12,4.22,1554581564
Sibu,MY,2.29,111.83,25.0,94,75,1.0,1554577200
Alfredo Baquerizo Moreno,EC,-1.89,-79.56,31.22,58,75,3.6,1554581406
Durusu,TR,37.53,40.83,11.31,81,75,1.5,1554580800
Waslala,NI,13.33,-85.37,25.96,71,88,2.42,1554581566
Lagoa,PT,37.14,-8.45,12.57,67,40,5.1,1554581539
Beloha,MG,-25.17,45.06,26.36,60,0,5.22,1554581567
Baie-Comeau,CA,49.22,-68.15,3.91,80,90,8.2,1554581511
Kemi,FI,65.74,24.56,-3.0,92,0,1.0,1554580200
Umm Kaddadah,SD,13.6,26.69,21.26,15,0,3.82,1554581567
Burgkirchen,AT,48.2,13.1,9.57,85,0,1.79,1554581564
Leningradskiy,RU,69.38,178.42,-14.59,91,44,6.37,1554581567
Bethel,US,60.79,-161.76,-2.74,73,90,6.7,1554578520
Cherskiy,RU,68.75,161.3,-13.19,73,0,1.02,1554581568
Saint-Augustin,FR,44.83,-0.61,8.53,87,75,3.1,1554581547
Arona,IT,45.76,8.56,11.31,81,0,2.6,1554581564
Broome,GB,52.47,1.45,7.64,100,90,2.1,1554581552
Kruisfontein,ZA,-34.0,24.73,17.46,84,0,5.47,1554581569
Chiredzi,ZW,-21.05,31.67,24.21,74,44,3.12,1554581570
Zyryanka,RU,65.73,150.89,-9.94,84,56,1.77,1554581570
Bambanglipuro,ID,-7.95,110.28,22.81,99,100,1.37,1554581570
Altay,CN,47.83,88.13,-4.44,88,32,1.42,1554581570
Gornozavodsk,RU,58.37,58.33,-5.94,69,0,2.17,1554581571
Nauen,DE,52.61,12.88,14.77,41,0,2.6,1554581559
Araouane,ML,18.9,-3.53,24.76,18,0,4.77,1554581571
Villa Guerrero,MX,21.98,-103.59,25.06,15,0,2.22,1554581571
Coahuayana,MX,18.62,-100.35,30.81,24,20,1.42,1554581572
Christchurch,NZ,-43.53,172.64,7.28,70,92,5.7,1554581288
Turayf,SA,31.68,38.65,18.0,68,75,1.5,1554577200
Urengoy,RU,65.96,78.37,-4.04,89,76,7.72,1554581572
Graaff-Reinet,ZA,-32.25,24.53,10.31,86,0,1.17,1554581335
Gari,RU,59.43,62.35,-5.94,67,0,1.77,1554581573
Tautira,PF,-17.73,-149.15,30.76,70,20,2.1,1554580945
Murchison,AU,-36.62,145.22,10.71,74,0,1.02,1554581026
Phibun Mangsahan,TH,15.24,105.23,27.0,78,48,1.0,1554577200
Dali,CN,25.6,100.24,5.46,100,8,0.97,1554581573
Abapo,BO,-18.83,-63.47,19.56,53,0,1.07,1554581574
Port Lincoln,AU,-34.72,135.86,14.81,100,88,5.42,1554581574
Ocos,GT,14.51,-92.19,33.53,43,20,4.1,1554577200
Timbiqui,CO,2.77,-77.67,29.46,67,36,3.12,1554581574
Upata,VE,8.02,-62.41,32.78,55,64,2.68,1554580868
Kharan,PK,28.58,65.42,15.91,69,36,0.62,1554581575
Tuktoyaktuk,CA,69.44,-133.03,-18.0,70,20,5.7,1554577200
Menongue,AO,-14.66,17.68,18.86,84,24,0.77,1554581575
Casma,PE,-9.47,-78.3,21.76,90,12,4.42,1554581575
Port Hardy,CA,50.7,-127.42,11.0,66,75,12.3,1554577200
Siswa Bazar,IN,27.12,83.76,20.21,80,36,2.72,1554581576
Boma,NG,11.23,4.46,31.86,41,8,4.12,1554581576
Erzin,TR,36.95,36.2,17.18,77,75,3.1,1554581524
Fomboni,KM,-12.28,43.74,29.61,100,8,2.07,1554581576
Norman Wells,CA,65.28,-126.83,-5.0,67,75,8.2,1554577200
Chateauroux,FR,43.72,0.65,6.44,93,32,1.5,1554581547
Mayumba,GA,-3.44,10.65,26.56,100,92,2.87,1554581577
Aldan,RU,58.61,125.39,-5.04,76,56,1.52,1554581577
Shuiji,CN,27.42,118.34,10.71,87,36,0.57,1554581578
Constitucion,MX,23.99,-104.67,22.54,10,5,6.7,1554581415
Camocim,BR,-2.9,-40.84,24.26,96,92,1.42,1554581578
Bogashevo,RU,56.37,85.14,2.46,47,0,2.0,1554581422
Qaqortoq,GL,60.72,-46.03,7.0,26,75,3.1,1554576600
Klaksvik,FO,62.23,-6.59,5.0,97,48,4.1,1554578400
Melville,CA,50.93,-102.81,-0.32,100,90,7.7,1554581327
Khani,GE,41.96,42.96,10.0,93,40,2.6,1554579000
La Rioja,AR,-29.41,-66.86,22.96,65,0,1.67,1554581579
Buyukcavuslu,TR,41.24,28.06,8.63,87,0,6.2,1554581550
Jasper,US,33.83,-87.28,25.21,61,90,4.1,1554581478
Manokwari,ID,-0.87,134.08,27.01,100,64,0.72,1554581400
Bismarck,US,46.81,-100.78,7.67,87,90,3.6,1554581407
Arlit,NE,18.74,7.39,28.06,26,48,3.42,1554581581
Hamilton,CA,43.26,-79.87,13.14,62,75,1.0,1554581313
Hofn,IS,64.25,-15.21,2.11,100,12,9.42,1554581555
Maningrida,AU,-12.05,134.23,24.31,100,88,1.62,1554581461
Brigantine,US,39.41,-74.36,17.66,67,40,5.1,1554581574
Pacific Grove,US,36.62,-121.92,16.21,59,75,4.1,1554581462
Kirillov,RU,59.86,38.38,-1.0,80,0,2.12,1554579000
Victoria,BN,5.28,115.24,27.88,83,75,1.5,1554579000
Flin Flon,CA,54.77,-101.88,4.0,44,75,4.1,1554577200
Ipixuna,BR,-1.76,-48.8,26.0,83,75,4.6,1554580800
West Plains,US,36.73,-91.85,23.34,47,1,4.6,1554581281
Boda,BD,26.2,88.56,18.31,98,92,3.67,1554581584
Shu,KZ,43.6,73.76,3.41,81,0,3.12,1554581584
North Myrtle Beach,US,33.83,-78.68,22.41,60,1,1.5,1554581349
